Mask	Count	Complexity	Length
?u?u?u?u?u?u?u?u?d?d	169149	2.0	10.0
?l?l?l?d?d?d?d?l?l?l	168872	2.0	10.0
?l?l?l?l?l?l?s?d?d?d?d	168766	3.0	11.0
?d?d?d?d?d?d?d?d?u	168303	2.0	9.0
?d?l?l?l?l?l?l?l?d	165863	2.0	9.0
?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l	164501	1.0	19.0
?l?l?l?l?l?l?l?l?l?d?d?d?d?d	163664	2.0	14.0
?u?l?l?l?l?l?d?d?s	163263	4.0	9.0
?l?l?l?l?l?l?d?s	162916	3.0	8.0
?l?l?d?d?d?d?d?d?d?d?d?d	162827	2.0	12.0
?l?l?l?l?l?l?d?l?l	161687	2.0	9.0
?d?d?d?d?u?u?u?u?u	160492	2.0	9.0
?u?u?u?u?u?u?u?u?u?u?d	159619	2.0	11.0
?l?l?l?d?d?d?d?d?d?d?d?d?d	159113	2.0	13.0
?l?l?l?l?l?l?l?l?d?d?d?d?d?d?d?d	159049	2.0	16.0
?l?l?l?l?d?d?d?d?d?d?d?d?d	157600	2.0	13.0
?u?d?d?d?d?d?d?d	157518	2.0	8.0
?l?l?l?l?l?l?l?l?s?d?d	153877	3.0	11.0
?l?l?l?l?l?l?l?d?s	153836	3.0	9.0
?l?l?l?l?l?d?l?d	153452	2.0	8.0
?l?l?l?d?d?d?d?l	153002	2.0	8.0
?l?l?l?s?l?l?l?l?l	152712	2.0	9.0
?u?l?l?d?d?d?d?d	152558	3.0	8.0
?l?l?l?d?d?l?l?l?l	151877	2.0	9.0
?l?l?l?l?l?l?l?l?d?s	151263	3.0	10.0
?l?l?l?l?d?d?d?d?s	151200	3.0	9.0
?l?d?d?l?l?l?l?l	149662	2.0	8.0
?u?l?l?l?l?d?d?d?d?d?d	147153	3.0	11.0
?u?d?d?d?d?d?d?d?d	145973	2.0	9.0
?u?l?l?l?l?d?d?d?d?d	145627	3.0	10.0
?l?l?l?l?l?d?d?d?d?s	145477	3.0	10.0
?l?l?l?d?d?l?l?l?l?l	144829	2.0	10.0
?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l?l	144654	1.0	20.0
?l?l?l?l?d?d?d?l	144131	2.0	8.0
?l?d?l?l?l?l?l?l?l	143480	2.0	9.0
?u?u?u?d?d?d?d?d?d	143240	2.0	9.0
?d?d?l?l?l?l?l?l?l?l?l	142223	2.0	11.0
?d?d?d?d?d?d?d?l?l?l?l?l	141945	2.0	12.0
?l?d?d?d?d?d?d?d?d?l	141416	2.0	10.0
?l?l?l?d?l?l?l?l?l?l	141090	2.0	10.0
?l?l?l?l?l?l?l?l?l?l?d?d?d?d?d?d	140490	2.0	16.0
?u?l?l?l?l?l?l?l?l?l?l?l?l	140438	2.0	13.0
?u?u?u?u?u?u?u?d?d?d?d	140374	2.0	11.0
?l?l?l?d?d?l?l?l?l?l?l	139519	2.0	11.0
?d?d?s?d?d?s?d?d?d?d	138021	2.0	10.0
?l?l?l?s?l?l?l?l?l?l	136597	2.0	10.0
?u?u?u?u?u?u?u?u?u?d?d	134909	2.0	11.0
?u?l?l?l?l?l?l?l?l?l?l?d?d	133644	3.0	13.0
?l?l?l?l?d?l?l?d	132665	2.0	8.0
?l?l?l?l?d?d?d?l?l?l	131915	2.0	10.0
?d?d?d?d?l?l?d?d	131898	2.0	8.0
?u?l?l?l?d?d?d?d?d	131233	3.0	9.0
?l?l?l?l?l?l?l?l?d?d?d?d?d?d?d	129863	2.0	15.0
?l?l?l?l?l?l?d?d?d?s	129636	3.0	10.0
?l?l?l?l?l?s?l?l?l?l?l?l	128324	2.0	12.0
?l?l?l?u?u?u?d?d?d	127707	3.0	9.0
?l?l?d?l?l?d?l?l	126957	2.0	8.0
?d?l?l?l?l?l?l?l?l?l?l	126522	2.0	11.0
?u?l?l?l?l?l?s?d?d	125342	4.0	9.0
?l?d?l?l?l?l?l?d	125329	2.0	8.0
?l?l?d?l?l?l?l?d	124529	2.0	8.0
?d?l?l?l?l?l?d?d	124128	2.0	8.0
?l?l?l?d?d?d?d?d?d?d?d?d?d?d	123470	2.0	14.0
?l?l?d?d?d?l?l?l	123148	2.0	8.0
?l?d?l?l?l?d?l?l	121537	2.0	8.0
?u?l?l?l?l?l?d?d?d?d?d?d	121442	3.0	12.0
?l?l?l?l?l?l?s?l?l?l?l?l	121146	2.0	12.0
?d?d?l?l?d?d?d?d	120910	2.0	8.0
?l?l?d?l?d?l?l?l	120563	2.0	8.0
?d?d?d?l?l?l?l?l?l?l?l	120555	2.0	11.0
?l?d?l?d?l?l?l?l	119540	2.0	8.0
?l?l?l?l?l?l?l?l?l?l?l?l?l?d?d?d?d	119464	2.0	17.0
?d?l?l?l?d?l?l?l	117596	2.0	8.0
?l?l?l?l?l?l?l?s?l?l	117526	2.0	10.0
?l?l?l?l?l?d?d?d?s	116043	3.0	9.0
?d?d?d?d?d?d?d?d?d?d?l?l	116041	2.0	12.0
?l?l?d?l?l?l?l?l?l	115224	2.0	9.0
?d?l?d?l?d?l?d?l	115051	2.0	8.0
?l?l?l?l?l?l?l?l?l?l?s	114405	2.0	11.0
?d?d?d?u?u?u?u?u	114139	2.0	8.0
?l?l?l?l?l?d?d?l?l	114102	2.0	9.0
?l?l?l?l?l?l?s?l?l?l?l?l?l	113937	2.0	13.0
?l?l?l?l?d?d?d?d?d?d?d?d?d?d	113747	2.0	14.0
?u?u?u?u?u?u?u?d?d?d	113663	2.0	10.0
?d?d?d?d?d?d?d?d?d?l?l?l	112668	2.0	12.0
?l?d?d?l?d?d?l?d?d	112363	2.0	9.0
?l?l?l?l?l?s?l?l	112028	2.0	8.0
?d?d?d?d?d?d?d?d?s	111656	2.0	9.0
?l?l?l?l?l?l?l?l?l?l?d?d?d?d?d	111340	2.0	15.0
?u?l?l?l?l?l?d?d?d?d?d	111310	3.0	11.0
?d?d?d?d?d?d?d?d?d?d?d?l?l?l	110675	2.0	14.0
?l?l?l?l?l?l?s?l?l?l?l	110626	2.0	11.0
?l?l?l?l?s?l?l?l?l?l?l	110368	2.0	11.0
?d?d?d?d?d?d?l?l?l?l?l?l?l	109725	2.0	13.0
?l?d?l?l?d?l?l?l	109623	2.0	8.0
?l?l?l?l?d?l?d?l	109494	2.0	8.0
?d?d?l?l?l?l?l?l?l?d?d	108915	2.0	11.0
?u?u?u?u?u?u?u?u?u?u?u?u?u	108129	1.0	13.0
?l?l?l?l?l?d?d?d?d?d?d?d?d?d	107939	2.0	14.0
?u?u?u?d?d?d?d?d	107916	2.0	8.0
?l?d?l?l?l?l?d?l	107503	2.0	8.0
?l?l?l?l?l?l?s?l	107490	2.0	8.0
?u?u?u?u?u?u?u?u?u?u?u?d	107456	2.0	12.0
?l?l?l?l?l?d?d?d?d?l	106926	2.0	10.0
?d?d?d?d?d?d?u?u	106920	2.0	8.0
?d?d?d?d?d?d?d?d?d?d?l?l?l	106913	2.0	13.0
?l?l?l?d?l?l?d?l	106850	2.0	8.0
?l?l?d?l?l?l?d?l	106224	2.0	8.0
?l?l?d?l?l?l?l?l?l?l	106211	2.0	10.0
?s?l?l?l?l?l?l?l?l?l	105820	2.0	10.0
?u?l?l?l?l?l?l?d?d?s	105644	4.0	10.0
?d?l?l?l?l?l?l?l?l?l?d	105051	2.0	11.0
?l?l?l?l?d?d?d?d?l	104986	2.0	9.0
?l?l?l?d?l?d?l?l	104788	2.0	8.0
?d?d?d?d?u?u?u?u?u?u	104616	2.0	10.0
?l?l?l?l?l?l?l?s?d?d?d?d	104399	3.0	12.0
?l?l?l?l?l?l?l?l?d?d?s	103371	3.0	11.0
